Company Website URL,Phase ID,Phase Number,Prompt Type,Status,Description,Tags,Last Updated,Dependencies,Google Drive File,Prompt Text,Grok X/Twitter Viral Search,LinkedIn URL,URL
1. Business Intelligence System Prompt,Phase 1S,Phase 1,System Prompt,Not Started,Role,Role Setup,"June 9, 2025","Client Form (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Client%20Form%2020d07fa9108b80b5b407cad9413fdad4.csv), Foundational Business Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Foundational%20Business%20Intelligence%2020d07fa9108b801b8b3ce3f14b7f94d7.csv)",,,,,
Foundational Business Intelligence,Phase 1A,Phase 1,User Prompt,Not Started,Gathers core business intelligence data to establish baseline understanding,"Analysis, Data Collection","June 9, 2025","1. Business Intelligence System Prompt (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/1%20Business%20Intelligence%20System%20Prompt%2020d07fa9108b80b3a33ac312eb273d6b.csv), DNA Research & ICP Discovery (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/DNA%20Research%20&%20ICP%20Discovery%2020d07fa9108b80939aecc73ffecdeae2.csv)",,,,,
"#Response Foundational Business Intelligence ",Phase 1A-bis,Phase 1,Example Response,Not Started,Gathers core business intelligence data to establish baseline understanding,Sample Data,"June 9, 2025",,,,,,
DNA Research & ICP Discovery,Phase 1B,Phase 1,User Prompt,Not Started,Researches company DNA and identifies ideal customer profiles,"Analysis, Data Collection","June 9, 2025","Foundational Business Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Foundational%20Business%20Intelligence%2020d07fa9108b801b8b3ce3f14b7f94d7.csv), Key Person of Influence Assessment (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Key%20Person%20of%20Influence%20Assessment%2020d07fa9108b80398a5cee30ffe42d08.csv)",,,,,
"#Response DNA Research & ICP Discovery ",Phase 1B-bis,Phase 1,Example Response,Not Started,Researches company DNA and identifies ideal customer profiles,Sample Data,"June 9, 2025",,,,,,
Key Person of Influence Assessment,Phase 1C,Phase 1,User Prompt,Not Started,Analyzes key influencers and decision makers within target market,"Analysis, Strategy","June 9, 2025","DNA Research & ICP Discovery (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/DNA%20Research%20&%20ICP%20Discovery%2020d07fa9108b80939aecc73ffecdeae2.csv), Competitive Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Competitive%20Intelligence%2020d07fa9108b8016bb9af457d75c2fd5.csv)",,,,,
#Response Key Person of Influence Assessment,Phase 1C-bis,Phase 1,Example Response,Not Started,Analyzes key influencers and decision makers within target market,Sample Data,"June 9, 2025",,,,,,
Competitive Intelligence,Phase 1D,Phase 1,User Prompt,Not Started,Analyzes competitors to identify market positioning opportunities,"Analysis, Data Collection","June 9, 2025","Key Person of Influence Assessment (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Key%20Person%20of%20Influence%20Assessment%2020d07fa9108b80398a5cee30ffe42d08.csv), Business Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Business%20Intelligence%20Archive%20for%20Master%20Content%20B%2020d07fa9108b8079bcb1e5f3d25310a0.csv)",,,,,
"#Response Competitive Intelligence ",Phase 1D-bis,Phase 1,Example Response,Not Started,Analyzes competitors to identify market positioning opportunities,"Analysis, Data Collection","June 9, 2025",,,,,,
Business Intelligence Archive for Master Content Bible,Phase 1EB,Phase 1,User Prompt,Not Started,Archive phase,"Archive, Export","June 9, 2025","Competitive Intelligence (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Competitive%20Intelligence%2020d07fa9108b8016bb9af457d75c2fd5.csv), SEO Intelligence Analysis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/SEO%20Intelligence%20Analysis%2020d07fa9108b8057950dcb0782c1a81a.csv), Golden Hippo Offer Development + 90-Day Strategy (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Golden%20Hippo%20Offer%20Development%20+%2090-Day%20Strategy%2020e07fa9108b8027a2fefb73f03ae4b6.csv)",,,,,
HITL - Business Intelligence Report using Perplexity LABS,Phase 1P.Labs,Phase 1,OUT,,,,,,,,,,
2. SEO and social intelligence analyst System Prompt,Phase 2S,Phase 2,System Prompt,Not Started,Role,Role Setup,,,,,,,
SEO Intelligence Analysis,Phase 2A,Phase 2,User Prompt,Not Started,Analyzes SEO landscape and opportunities for content strategy,"Analysis, Data Collection","June 9, 2025",Business Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Business%20Intelligence%20Archive%20for%20Master%20Content%20B%2020d07fa9108b8079bcb1e5f3d25310a0.csv),,,,,
#Response SEO Intelligence Analysis,Phase 2A-bis,Phase 2,Example Response,Not Started,Analyzes SEO landscape and opportunities for content strategy,Sample Data,"June 9, 2025",,,,,,
Social Intelligence Analysis,Phase 2B,Phase 2,User Prompt,Not Started,Examines social media trends and engagement patterns,"Analysis, Data Collection","June 9, 2025","Social Intelligence Analysis (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/Social%20Intelligence%20Analysis%2020d07fa9108b80bcb7a1d4ce83753a3b.csv), SEO + Social Intelligence Archive for Master Content Bible (SS%20Colossal%20Intelligence%20Arsenal%20(CIA)%20Ops%20Avatar%20%2020d07fa9108b800eb8afcc90710baa39/SEO%20+%20Social%20Intelligence%20Archive%20for%20Master%20Conte%2020d07fa9108b805ab6fee6ebe826c806.csv)",,,,,
#Response Social Intelligence Analysis,Phase 2B-bis,Phase 2,Example Response,Not Started,Examines social media trends and engagement patterns,Sample Data,"June 9, 2025",,,,,,
